NumeroLinha;Linha;Nome
720;SC03A;HOSPITAL FELICIO ROCHO/HOSPITAL MILITAR A
721;SC03A-01;HOSPITAL FELICIO ROCHO/HOSPITAL MILITAR A
725;SC04A-01;SANTA CASA/SAVASSI/RODOVIARIA A
727;SC04B-01;SANTA CASA/RODOVIARIA/SAVASSI B
728;2004;BANDEIRANTES/PILAR VIA OLHOS D´AGUA
730;2004-02;BANDEIRANTES/PILAR ATEND.CLUBE BH/DESVIO FEIRA
731;2004-03;BANDEIRANTES/PILAR VIA OLHOS D´AGUA-DESVIO FEIRA
732;2004-04;BANDEIRANTES/PILAR VIA OLHOS D´AGUA
733;4102;APARECIDA/SERRA
734;4102-01;APARECIDA/SERRA
735;4102-02;APARECIDA/SERRA - DESVIO FEIRA AFONSO PENA
736;4110;DOM CABRAL/FAC. MILTON CAMPOS VIA BELVEDERE
740;4111-02;DESVIO FEIRA DA AV.AFONSO PENA/AV.BANDEIRANTES
742;4114;BONFIM / CENTRO
743;4114-01;BONFIM / CENTRO
744;4114-02;BONFIM / CENTRO
756;3501A-04;JARDIM ALVORADA/SAO MARCOS
757;5502A;JARDIM VITORIA A
758;5502A-01;JARDIM VITORIA A
763;5502C-01;POUSADA SANTO ANTONIO/CENTRO/HOSPITAIS
764;5502C-04;POUSADA SANTO ANTONIO
765;5507B;FELICIDADE
767;607;ESPLENDOR / JAQUELINE
770;607-03;ESPLENDOR / JAQUELINE
771;9030;CASTANHEIRAS/CENTRO
782;007;ERMELINDA/BH SHOPPING
783;007-01;ERMELINDA/BH SHOPPING
259;310;3 E 4 SECAO
789;2102-04;GAMELEIRA / SERRA
790;2207-05;SERRA VERDE
792;2208B-06;JARDIM EUROPA
796;4107R-02;SERRA/CENTRO VIA HOSPITAL EVANGELICO
797;5540-02;JARDIM LEBLON VIA RIO BRANCO
801;64-06;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
804;705-02;ESTACAO SAO GABRIEL / RUA SAO LUIZ
805;705-03;PARTIDAS RUA SÃO LUIZ / ESTACAO SAO GABRIEL
807;706-01;EST. SAO GABRIEL/ HELIOPOLIS
808;706-02;ESTACAO SAO GABRIEL / RUA NAIR PENTAGNA GUIMARÃES
811;707-02;ESTACAO SAO GABRIEL / RUA  JOSÉ SOARES
816;80-01;ESTACAO SAO GABRIEL/AV.CRISTIANO MACHADO
817;8103R-03;SAO BENTO/CENTRO
819;8350;EST.SAO GABRIEL/EST.BARREIRO
820;8350-01;EST.SAO GABRIEL/EST.BARREIRO
822;8350-03;ESTACAO SAO GABRIEL/ESTACAO BARREIRO
823;8350-04;ESTACAO SAO GABRIEL/ESTACAO BARREIRO
824;9030-03;CASTANHEIRAS/CENTRO
857;4034-03;NOVO DOM BOSCO / SAVASSI VIA PADRE EUSTAQUIO
858;9201-02;BALEIA/NOVA GRANADA
844;711-01;EST. SAO GABRIEL/SOLIMOES
845;711-02;ESTACAO SAO GABRIEL / RUA IPÊ ROXO
846;713;ESTACAO SAO GABRIEL/LAJEDO
847;713-01;EST. SAO GABRIEL/LAJEDO
851;715-01;EST. SAO GABRIEL / MONTE AZUL
852;716;ESTACAO SAO GABRIEL/NOVO AARAO REIS
853;716-01;EST.S. GABRIEL/NOVO AARAO REIS
854;716-02;ESTACAO SAO GABRIEL / AV UM
337;4106-01;SAO CRISTOVAO/SANTO ANTONIO VIA SAVASSI
338;4106-02;SAO CRISTOVAO/STO ANTONIO-DESVIO FEIRA  AF.PENA
860;8205-03;DESVIO FEIRA DA SILVA LOBO
863;4033-02;CAMARGOS VIA EXPRESSA/CENTRO
865;SA01-03;METRO-CENTRAL/PCA.DA LIBERDADE/HOSPITAIS
866;3000;ACESSO ESTAÇÃO SAO GABRIEL
869;104;ESTAÇÃO LAGOINHA / AV. AFONSO PENA
870;104-01;PRINCIPAL
874;713-02;LAJEDO/ ESTAÇÃO SÃO GABRIEL
877;SC01R-02;CONTORNO/PRACA MILTON CAMPOS
878;5102-06;UFMG/ SANTO ANTONIO
883;0000;LINHA APRESENTAÇÃO
886;9214;CAETANO FURQUIM/ HAVAI - VIA ALTO HAVAI
897;33;ESTAÇÃO BARREIRO/ CENTRO- HOSPITAIS
902;33-04;ESTAÇÃO BARREIRO/ CENTRO- HOSPITAIS
903;3053;ESTACAO BARREIRO/BARRO PRETO
908;3054-01;MILIONARIOS/CENTRO
912;325;FLAVIO MARQUES/ ESTAÇÃO BARREIRO
915;325-01;EST. BARREIRO/ FLAVIO M. LISBOA
916;326;VALE DO JATOBA / ESTAÇÃO BARREIRO
918;327;CARDOSO A / ESTAÇÃO BARREIRO
919;327-01;EST. BARREIRO/ CARDOSO A
920;327-02;VIA CLUBE DA COPASA
922;328-01;EST. BARREIRO/ CARDOSO B
927;315-02;BARREIRO / ESTAÇÃO BARREIRO
929;32-01;DIRETA
931;32-03;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
934;330-01;EST. BARREIRO/ INDEPENDENCIA
935;331; ESTAÇÃO BARREIRO/CONJ. ANT. TEIXEIRA DIAS VIA UPA
939;333;BOM SUCESSO / MILIONARIOS / ESTAÇÃO BARREIRO
941;334;BAIRRO MINEIRÃO / ESTAÇÃO BARREIRO
944;627-05;MANTIQUEIRA / ESTAÇÃO VENDA NOVA
946;31-04;JATOBA / HOSPITAIS
949;4000;EST. BARREIRO
951;4000-01;EST. BARREIRO STA MARGARIDA
954;9502-04;ZOOLOGICO VIA MUSEU DE ARTE
955;9803-02;TAQUARIL / PALMARES
960;9805-02;SANTA EFIGÊNIA / RENASCENÇA - DESVIO FEIRA A. PENA
963;4107R-05;SERRA/CENTRO VIA HOSPITAL EVANGELICO
964;4107R-06;SERRA/CENTRO VIA HOSPITAL EVANGELICO
965;4107R-07;SERRA/CENTRO VIA HOSPITAL EVANGELICO
968;34;ESTAÇÃO BARREIRO / VIA EXPRESSA 
971;34-02;EST. BARREIRO / VIA EXPRESSA 
976;1207B-06;CONJUNTO BETANIA/SANTA MONICA
979;62-05;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
984;64-08;EST. VENDA NOVA/STO AGOSTINHO - DESVIO FEIRA AUT.
985;35;ESTAÇÃO BARREIRO/ CENTRO - VIA SANTOS DUMONT
987;35-01;EST. BARREIRO/ CENTRO
988;1010;LINHA CARGA A BORDO
993;5517-02;MINAS CAIXA / VIA SERRA VERDE
994;5517-03;MINAS CAIXA / VIA SERRA VERDE
996;32-06;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
997;33-05;EST.BARREIRO/CENTRO - DIRETA
1000;301-04;SOLAR/BRASIL INDUSTRIAL
1001;325-02;NOTURNO
1003;311-02;NOTURNO
1004;3051-02;FLAVIO MARQUES LISBOA / SAVASSI VIA N.S.CARMO
1006;9412-04;CONJ.TAQUARIL/PADRE EUSTAQUIO
1007;9412-07;CONJ.TAQUARIL/PADRE EUSTAQUIO
1010;9250-03;CAETANO FURQUIM/NOVA CINTRA VIA SAVASSI
1012;9412-08;CONJ.TAQUARIL/PADRE EUSTAQUIO
1013;9412-10;CONJ. TAQUARIL/PADRE EUSTAQUIO
1024;2234A-05;JAQUELINE A
1026;2234B-03;JAQUELINE B / CENTRO
1028;5523A-04;CONJUNTO PAULO VI / CENTRO
1030;633-02;NOTURNO
1031;9208-03;TAQUARIL / CENTRO
1034;608-03;NOVA PAMPULHA/VENDA NOVA
1036;62-08;ESTACAO VENDA NOVA/SAVASSI VIA HOSPITAIS
